"credit_id","actual","feature","class","shap_value"
172029,"Clean Paid Off","w60d_total_paid_to_due_ratio","Written Off",-0.000875
172029,"Clean Paid Off","w60d_total_paid_to_due_ratio","Sold",-0.00125
172029,"Clean Paid Off","w60d_total_paid_to_due_ratio","Other Terminal / Special Closure",0
172029,"Clean Paid Off","loan_administrative_fee","Clean Paid Off",-0.00125
172029,"Clean Paid Off","loan_administrative_fee","Paid Off After Delinquency",0.00258333333333333
172029,"Clean Paid Off","loan_administrative_fee","Written Off",0.000625
172029,"Clean Paid Off","loan_administrative_fee","Sold",-0.00195833333333333
172029,"Clean Paid Off","loan_administrative_fee","Other Terminal / Special Closure",0
172029,"Clean Paid Off","contract_charge_rate","Clean Paid Off",-0.008125
172029,"Clean Paid Off","contract_charge_rate","Paid Off After Delinquency",0.0035
172029,"Clean Paid Off","contract_charge_rate","Written Off",0
172029,"Clean Paid Off","contract_charge_rate","Sold",0.004625
172029,"Clean Paid Off","contract_charge_rate","Other Terminal / Special Closure",0
172029,"Clean Paid Off","loan_charge","Clean Paid Off",0.00529166666666667
172029,"Clean Paid Off","loan_charge","Paid Off After Delinquency",-0.00454166666666666
172029,"Clean Paid Off","loan_charge","Written Off",0
172029,"Clean Paid Off","loan_charge","Sold",-0.00075
172029,"Clean Paid Off","loan_charge","Other Terminal / Special Closure",0
172029,"Clean Paid Off","contract_amount_per_day","Clean Paid Off",0.0190833333333333
172029,"Clean Paid Off","contract_amount_per_day","Paid Off After Delinquency",-0.023
172029,"Clean Paid Off","contract_amount_per_day","Written Off",0.0015
172029,"Clean Paid Off","contract_amount_per_day","Sold",0.00241666666666667
172029,"Clean Paid Off","contract_amount_per_day","Other Terminal / Special Closure",0
172029,"Clean Paid Off","loan_interest","Clean Paid Off",0.00325
172029,"Clean Paid Off","loan_interest","Paid Off After Delinquency",-0.00604166666666667
172029,"Clean Paid Off","loan_interest","Written Off",0
172029,"Clean Paid Off","loan_interest","Sold",0.00279166666666667
172029,"Clean Paid Off","loan_interest","Other Terminal / Special Closure",0
172029,"Clean Paid Off","contract_charge_per_day","Clean Paid Off",0
172029,"Clean Paid Off","contract_charge_per_day","Paid Off After Delinquency",0
172029,"Clean Paid Off","contract_charge_per_day","Written Off",0
172029,"Clean Paid Off","contract_charge_per_day","Sold",0
172029,"Clean Paid Off","contract_charge_per_day","Other Terminal / Special Closure",0
172029,"Clean Paid Off","w60d_scheduled_due_interest","Clean Paid Off",0.00216666666666667
172029,"Clean Paid Off","w60d_scheduled_due_interest","Paid Off After Delinquency",-0.00216666666666666
172029,"Clean Paid Off","w60d_scheduled_due_interest","Written Off",0
172029,"Clean Paid Off","w60d_scheduled_due_interest","Sold",0
172029,"Clean Paid Off","w60d_scheduled_due_interest","Other Terminal / Special Closure",0
172029,"Clean Paid Off","loan_amount","Clean Paid Off",-0.00333333333333333
172029,"Clean Paid Off","loan_amount","Paid Off After Delinquency",-0.00183333333333333
172029,"Clean Paid Off","loan_amount","Written Off",0.00104166666666667
